Comment,Designator,Footprint,LCSC Part #（optional）
WS2812b,"D1, D2, D3",LED-4_5050,C114586
100nF,"C1, C2, C3",0805_C,C49678
100nF,"C4, C5, C9",0402_C,C71629
4.7uF,C6,0603_C,C19666
10uF,"C7, C8",0603_C,C19702
10k,"R1, R3",0402_R,C60489
ESP32-PICO-D4,U2,QFN-48_EP_7.0x7.0x0.5P,C193707
